SMILE A,SMILE B,SMILE C,Swelling Ratio (times),Source
[*]OCC[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,1,在小鼠皮肤伤口缺损模型中评估增强聚乙二醇壳聚糖水凝胶作为敷料的效果
[*]O[C@H](C)CC([*])=O,,,2.03,10.1002_app.38735_part_2.txt_段1_Material1
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,,,1.2,10.1021_acsami.6b08285_part_4.txt_段1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,,,4.165,10.1080_10601325.2021.1880935_part_2.txt_段1_Material5
C[Si](O[*])(C)[*],,,2.52,10.1016_j.memsci.2013.01.053_part_1.txt_段1_Material1
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],,,0.1,10.1002_pc.21054_10.1002_pc.21054_part_1.txt_段1_Material1
[*]C(C)C[*],,,0.486,10.1002_polb.24284_10.1002_polb.24284_part_1.txt_段1_Material2
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,101.7115,10.1039_c6sm01994c_part_2.txt_段1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,8,合成、优化和细胞反应研究的天然基、热响应、可注射水凝胶：用于3D肝细胞封装和细胞治疗的态度.pdf
OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O,O=C(N)C([*])C[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,0,具有高韧性和刚度的离子连接双网络水凝胶.pdf
[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,30,纳米纤维素增强结冷胶水凝胶作为环状纤维组织再生的潜在生物替代物.pdf
OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O,COC(C(C[*])([*])C)=O,[*]OCC[*],27,含有可促进与宿主组织粘合的化学基团的改性透明质酸水凝胶可促进软骨再生.pdf
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,O=C(N([*])C([*])=O)CC=C,,2.49,用三维打印生物可降解高强度超分子聚合物强化明胶水凝胶支架实现骨软骨再生.pdf
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]CC(C)(C(OCCO)=O)[*],OC1C(OC(C(C1O)O)[*])CO[*],7,透明质酸和葡聚糖基半 IPN 水凝胶作为生物打印的生物材料.pdf
[*]C([H])([H])C(O)([H])[*],[*]CCN[*],,1.11,单宁酸交联 PVA PEI 基水凝胶作为具有自修复和高抗菌性能的潜在伤口敷料的研究.pdf
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]C([H])([H])C(O)([H])[*],[*]OCC[*],2.8,冷冻干燥作为多功能工艺在改善医用水凝胶性能中的作用.pdf
OCC1OC(C(C(C1O[*])O)O)[*],,,2.52,再生纤维素 胶原复合水凝胶膜的制备、表征与评价.pdf
[*]OCC[*],[*]OCC[*],,25.1,"原位共价交联 PEG 水凝胶,用于眼部药物递送应用.pdf"
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,,5.9,茶渣和糖类添加剂制备和表征纤维素复合水凝胶.pdf
OCC(OCC(COCC(CO[*])O)O)COCC(OCC(COCC(CO)O)O)COCC(COCC(CO[*])O)O,[*]OCC[*],,9.43,使用电子束的超支化聚(缩水甘油) 聚(环氧乙烷)交联水凝胶用于组织工程支架.pdf
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,0.8,"生物启发的无钙海藻酸盐水凝胶,具有可调节的物理和机械性能以及改进的生物相容性.pdf"
[*]C(N[*])=O,,,27,人重组弹性蛋白 (HELP) 的酶促交联作为血管组织工程中的仿生方法.pdf
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C(C(CCCC[NH3+])N[*])=O,,18,通过 Michael 添加基于 PEG-马来酰亚胺修饰多肽的快速原位形成粘合水凝胶.pdf
OCC1OC(C(C(C1O[*])O)O)[*],O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,2.52,再生纤维素 胶原复合水凝胶膜的制备、表征与评价.pdf
[*]OCC[*],[*]OCC[*],[*]OCC[*],17.9,用于危急情况下紧急处理的止血和细菌响应原位水凝胶的合成及其性能.pdf
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]OCC[*],,80,光聚合巯基-丙烯酸酯马来基化透明质酸 巯基封端聚乙二醇水凝胶作为潜在的原位可形成支架.pdf
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,0.35,新型透明质酸-酪氨酸 胶原蛋白基注射水凝胶作为组织工程的软填料.pdf
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,[*]C([H])([H])C(O)([H])[*],16,灭菌壳聚糖基复合水凝胶的物理化学表征和体外细胞毒性.pdf
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*],30,"辐射交联明胶 海藻酸钠 羧甲基纤维素钠水凝胶,用作清创胶浆.pdf"
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]NC(CCC([*])=O)C(O)=O,,40.65,通过热压预组装和辐射交联制备具有刺激反应的明胶 聚(γ-谷氨酸)水凝胶.pdf
OC(C(OC(C1O)CO)C[*])C1O[*],,,71,基于 salecan-g-PMAPTAC 的新型阳离子水凝胶的合成与表征.pdf
[*]NC(CCC([*])=O)C(O)=O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,3.9,用于骨组织工程应用的可注射胶原蛋白 RGD 系统.pdf
CC(O[*])CC([*])=O,[*]OCC[*],,60,聚羟基脂肪酸酯有机 水凝胶的合成和表征.pdf
[*]C(CCCCCO[*])=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,7.8,"用于组织工程的基于硫酸藻酸盐的水凝胶 纳米纤维复合支架,具有受控的 Kartogenin 递送.pdf"
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]C(CCCCCO[*])=O,,4.2,"用于组织工程的基于硫酸藻酸盐的水凝胶 纳米纤维复合支架,具有受控的 Kartogenin 递送.pdf"
OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*],34.2,"通过 Diels-Alder 反应制备自修复果胶 壳聚糖杂化水凝胶,用于具有高溶胀性、pH 响应性和细胞相容性的药物递送.pdf"
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*],,18,用水溶性聚合物对胶原衍生物进行改性以开发用于控释的交联水凝胶.pdf
OC1C(C(OC(C1OC2C(C(C(C(O2)CO)CO[*])O)O)COC3C(C(C(C(O3)CO)O)O)O)C[*])O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,10,聚多巴胺和纳米纤维素增强瓜尔豆胶基水凝胶的功能.pdf
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C(N)C([*])C[*],,4.9,壳聚糖丙烯酰胺复合水凝胶作为皮肤扩张剂的合成、表征及应用潜力.pdf
[*]C(CCCCCO[*])=O,[*]OCC[*],,7.6,用于细胞打印的高弹性可生物降解单网络水凝胶.pdf
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,2,角蛋白-壳聚糖 n-ZnO纳米复合水凝胶用于烧伤创面的抗菌治疗：表征和生物医学应用.pdf
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,3,"可注射蛋壳衍生的羟基磷灰石掺入丝素-藻酸盐复合水凝胶,用于骨组织工程.pdf"
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]C(C)(C(OCCN(C)C)=O)C[*],,18,"透明质酸和聚乙二醇杂化水凝胶包封具有止血和可持续抗菌特性的纳米凝胶,用于伤口愈合.pdf"
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,9.8,生物相容性磷酸八钙海藻酸钠丝素蛋白复合骨再生支架.pdf
[*]CC(CC([*])C(O)=O)C(NC(C)C)=O,[*]NC(CCC([*])=O)C(O)=O,,14.7,"负载超氧化物歧化酶的聚(N-异丙基丙烯酰胺)聚(γ-谷氨酸)热敏水凝胶,用于伤口敷料应用.pdf"
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]NC(CCC([*])=O)C(O)=O,,2,壳聚糖-γ-聚(谷氨酸)聚电解质复合水凝胶的抗菌活性和生物相容性.pdf
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,0.45,碳酸钙微胶囊和纳米羟基磷灰石对热敏化壳聚糖胶原水凝胶性能的影响
[*]OCC[*],[*]OC1OC(CO)C(O)C(OC2OC(C(NC(CS)C(OC)=O)=O)C(OC[*])C(O)C2O)C1NC(C)=O,,1.9,来自超支化PEG大分子单体的混合可注射水凝胶作为糖尿病伤口愈合的干细胞递送和保留平台
[*]OCC[*],[*]C([H])([H])C(O)([H])[*],,4.5,用于生物医学应用的基于聚乙二醇(PEG)-聚(N-异丙基丙烯酰胺)(PNIPAAm)的热敏可注射水凝胶。
O=C(N)C([*])C[*],[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,0.23,PNIPA 水凝胶复合材料的制备和力学表征.pdf
[*]C([H])([H])C(O)([H])[*],[*]C(C(OC(O[*])C=O)CO)C=O,,16.3,具有可调性能的生物相容性二醛纤维素 聚乙烯醇水凝胶.pdf
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,17.6,"负载雷奈酸锶的人发角蛋白透明质酸水凝胶具有抗炎和抗氧化特性,可加速伤口修复.pdf"
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O,15.4,"单宁酸改性角蛋白 海藻酸钠 羧甲基壳聚糖生物复合水凝胶,具有良好的机械性能和溶胀行为.pdf"
[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,,7.5,"改性 Gellan gum 水凝胶,具有可调的物理和机械性能.pdf"
OC(C([*])C[*])=O,,,9.17,肽-共聚物偶联物的设计和自组装成纳米颗粒水凝胶用于糖尿病伤口愈合.pdf
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,6,"用于心脏组织工程的导电、可注射和自修复胶原蛋白-透明质酸水凝胶,负载细菌纤维素和金纳米颗粒.pdf"
[*]C([H])([H])C(O)([H])[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,6.8,用于骨再生的工程仿生支架：壳聚糖藻酸盐聚乙烯醇基双网络水凝胶与碳纳米材料.pdf
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,10,"纤维素纳米原纤维作为交联剂,增强海藻酸钠 壳聚糖水凝胶.pdf"
O=C(N)C([*])C[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O,0.09,"耐用的水凝胶基润滑复合涂层,具有卓越的水下性能.pdf"
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]OCC[*],[*]CC(C)(C(OCCO)=O)[*],2.8,冷冻干燥作为多功能工艺在改善医用水凝胶性能中的作用.pdf
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]OCC[*],O=C(N)C([*])C[*],4.9,壳聚糖丙烯酰胺复合水凝胶作为皮肤扩张剂的合成、表征及应用潜力.pdf
[*]CC(C)(C(OCCO)=O)[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,0.63,"具有双氯芬酸洗脱能力的低摩擦水凝胶,用于干眼治疗性隐形眼镜.pdf"
[*]CC(C)(C(OCCO)=O)[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,0.62,"具有双氯芬酸洗脱能力的低摩擦水凝胶,用于干眼治疗性隐形眼镜.pdf"
O=C(N)C([*])C[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,1.51,减少射频能量组织焊接中高导电性水凝胶实现的热损伤.pdf
[*]OCC[*],[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,3.98,原位水诱导微相分离制备具有多重氢键互锁双连续相结构的坚韧聚氨酯水凝胶.pdf
OC1C(OC(C(C1O)O)[*])CO[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,19.47,用于皮肤组织工程的静电纺丝 PLCL 泊洛沙姆纳米纤维和葡聚糖 明胶水凝胶的制备和表征.pdf
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,5.45,"由海藻酸盐-聚氨酯的互穿网络组成的高吸收性水凝胶,用于生物医学应用.pdf"
[*]C(CCCCCO[*])=O,,,107,聚(ε-己内酯)二丙烯酸酯的合成用于胶束交联钠 AMPS 水凝胶用作受控药物输送伤口敷料.pdf
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]C([H])([H])C(O)([H])[*],,7,"可注射交联京尼平混合明胶-PVA 水凝胶,未来用作生物墨水以加快皮肤愈合能力：物理化学表征和细胞毒性评估.pdf"
OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO,[*]C(C(CCCCN[*])N)=O,,9,基于两种天然产物普鲁兰多糖和ε-聚-l-赖氨酸的复合抗菌水凝胶用于烧伤伤口愈合.pdf
[*]C([H])([H])C(O)([H])[*],OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O,,3.1,快速延伸的罗望子木葡萄糖PVA水凝胶与用于生物医学应用的互连大孔结构.pdf
[*]NC(CCC([*])=O)C(O)=O,[*]C([H])([H])C(O)([H])[*],,5.66,新型聚(γ-谷氨酸)聚乙烯醇水凝胶的血液相容性.pdf
[*]OCC[*],[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,12,辣根过氧化物酶催化poly-PEGDMA接枝聚合制备丝胶蛋白复合水凝胶.pdf
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,1.35,"一种可注射的基于壳聚糖的水凝胶支架,其中含有金纳米颗粒,用于组织工程应用.pdf"
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na],,20,一种由硬骨鱼和藻酸盐组成的快速原位可胶凝水凝胶.pdf
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na],,30,"内含羟基磷灰石和碳酸钙的可注射多糖水凝胶,用于药物输送和骨组织工程.pdf"
[*]OCC[*],[Na]OS(CC(C)(C)NC(C([*])C[*])=O)(=O)=O,,300,模型水凝胶的网络弹性随膨胀比的函数：从收缩到极端膨胀状态.pdf
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]OCC[*],7.2,"明胶-PEG 水凝胶中羟乙基纤维素的降解依赖性应力松弛半互穿网络,具有良好的机械稳定性和可逆性.pdf"
C[Si](C)(C[*])O[*],[*]OCC[*],,5,光交联 PDMSstar-PEG 水凝胶：组织工程支架的合成、表征和潜在应用.pdf
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,[*]OCC[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,29.1,"先进的基于明胶的血管化生物墨水,用于血管化骨等效物的基于挤出的生物打印.pdf"
[*]OCC[*],O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,71,声带固有层水凝胶模型中间充质干细胞的培养.pdf
[*]OCC[*],[*]C(OCCCO[*])=O,,58.8,通过光引发交联制备的生物可吸收水凝胶 二丙烯酸化 PTMC-PEG-PTMC 三嵌段共聚物作为抗肿瘤药物的潜在载体.pdf
[*]OCC[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,1.1,Silver doped-silica nanoparticles reinforced poly (ethylene glycol) diacrylatehyaluronic acid hydrogel dressings for synergistically accelerating bacterial-infected wound healing.pdf
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,[*]OCC[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,10.09,一种用于骨组织工程的 GelMA-PEGDA-nHA 复合水凝胶.pdf
[*]OCC[*],[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,14.76,Evaluation of novel biomaterials for cartilage regeneration based on gelatin methacryloyl interpenetrated with extractive chondroitin sulfate or unsulfated biotechnological chondroitin.pdf
[*]OCC[*],[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,8,3D bioprinting of photo-crosslinkable silk methacrylate (SilMA)-polyethylene glycol diacrylate (PEGDA) bioink for cartilage tissue engineering.pdf
[*]OCC[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,17.47,Designer injectable matrices of photocrosslinkable carboxymethyl cellulose methacrylate based hydrogels as cell carriers for gel type autologous chondrocyte implantation (GACI).pdf
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,8.96,原位形成负载聚多巴胺修饰富勒烯纳米复合物的活性氧清除杂化水凝胶促进皮肤伤口愈合.pdf
